Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Year,Country,Match
11,BRA,6,R,L,1,1,8,0,1994,Brazil,Italy vs. Brazil
11,ITA,2,R,C,0,0,9,1,1994,Italy,Italy vs. Brazil
11,BRA,,,,,,10,,1994,Brazil,Italy vs. Brazil
12,ARG,9,L,R,1,1,1,0,1998,Argentina,Argentina vs. England
12,ENG,1,R,L,1,1,2,0,1998,England,Argentina vs. England
12,ARG,6,R,R,1,0,3,0,1998,Argentina,Argentina vs. England
12,ENG,6,R,R,1,0,4,0,1998,England,Argentina vs. England
12,ARG,1,R,L,1,1,5,0,1998,Argentina,Argentina vs. England
12,ENG,1,R,L,1,1,6,0,1998,England,Argentina vs. England
12,ARG,7,R,L,1,1,7,0,1998,Argentina,Argentina vs. England
12,ENG,1,R,R,1,1,8,0,1998,England,Argentina vs. England
12,ARG,9,R,C,1,1,9,0,1998,Argentina,Argentina vs. England
12,ENG,5,R,L,1,0,10,1,1998,England,Argentina vs. England
13,FRA,7,R,R,1,1,1,0,1998,France,France vs. Italy
13,ITA,9,R,C,1,1,2,0,1998,Italy,France vs. Italy
13,FRA,7,L,L,1,0,3,0,1998,France,France vs. Italy
13,ITA,7,R,L,1,0,4,0,1998,Italy,France vs. Italy
13,FRA,7,R,R,1,1,5,0,1998,France,France vs. Italy
13,ITA,4,R,L,1,1,6,0,1998,Italy,France vs. Italy
13,FRA,9,R,R,1,1,7,0,1998,France,France vs. Italy
13,ITA,3,L,R,1,1,8,0,1998,Italy,France vs. Italy
13,FRA,5,R,R,1,1,9,0,1998,France,France vs. Italy
13,ITA,2,R,R,0,0,10,0,1998,Italy,France vs. Italy
14,BRA,2,R,R,1,1,1,0,1998,Brazil,Brazil vs. Netherlands
14,HOL,4,L,L,1,1,2,0,1998,Netherlands,Brazil vs. Netherlands
14,BRA,6,L,L,1,1,3,0,1998,Brazil,Brazil vs. Netherlands
14,HOL,9,R,R,1,1,4,0,1998,Netherlands,Brazil vs. Netherlands
14,BRA,5,R,R,1,1,5,0,1998,Brazil,Brazil vs. Netherlands
14,HOL,6,L,R,1,0,6,0,1998,Netherlands,Brazil vs. Netherlands
14,BRA,1,R,L,1,1,7,0,1998,Brazil,Brazil vs. Netherlands
14,HOL,7,R,L,1,0,8,1,1998,Netherlands,Brazil vs. Netherlands
14,BRA,,,,,,9,,1998,Brazil,Brazil vs. Netherlands
14,HOL,,,,,,10,,1998,Netherlands,Brazil vs. Netherlands
15,IRE,2,R,R,1,1,1,0,2002,Ireland,Ireland vs. Spain
15,SPA,4,R,R,1,1,2,0,2002,Spain,Ireland vs. Spain
15,IRE,2,R,R,0,0,3,0,2002,Ireland,Ireland vs. Spain
15,SPA,6,R,C,1,1,4,0,2002,Spain,Ireland vs. Spain
15,IRE,5,R,C,1,0,5,0,2002,Ireland,Ireland vs. Spain
15,SPA,9,L,C,0,0,6,0,2002,Spain,Ireland vs. Spain
15,IRE,6,L,R,1,0,7,0,2002,Ireland,Ireland vs. Spain
15,SPA,7,R,R,0,0,8,1,2002,Spain,Ireland vs. Spain
15,IRE,3,R,C,1,1,9,1,2002,Ireland,Ireland vs. Spain
15,SPA,8,R,L,1,1,10,1,2002,Spain,Ireland vs. Spain
16,KOR,9,R,R,1,1,1,0,2002,South Korea,South Korea vs. Spain
16,SPA,5,R,R,1,1,2,0,2002,Spain,South Korea vs. Spain
16,KOR,6,R,C,1,1,3,0,2002,South Korea,South Korea vs. Spain
16,SPA,7,R,R,1,1,4,0,2002,Spain,South Korea vs. Spain
16,KOR,6,R,L,1,1,5,0,2002,South Korea,South Korea vs. Spain
16,SPA,3,R,C,1,1,6,0,2002,Spain,South Korea vs. Spain
16,KOR,8,R,L,1,1,7,0,2002,South Korea,South Korea vs. Spain
16,SPA,5,R,C,1,0,8,0,2002,Spain,South Korea vs. Spain
16,KOR,3,R,L,1,1,9,1,2002,South Korea,South Korea vs. Spain
16,SPA,,,,,,10,,2002,Spain,South Korea vs. Spain
17,UKR,7,R,L,1,0,1,0,2006,Ukraine,Ukraine vs. Switzerland
17,SWZ,7,L,L,1,0,2,0,2006,Switzerland,Ukraine vs. Switzerland
17,UKR,5,R,L,1,1,3,0,2006,Ukraine,Ukraine vs. Switzerland
17,SWZ,1,R,L,0,0,4,0,2006,Switzerland,Ukraine vs. Switzerland
17,UKR,6,R,L,1,1,5,0,2006,Ukraine,Ukraine vs. Switzerland
17,SWZ,2,R,R,1,0,6,0,2006,Switzerland,Ukraine vs. Switzerland
17,UKR,7,R,R,1,1,7,1,2006,Ukraine,Ukraine vs. Switzerland
