Year,Match,Country,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination
2014,Brazil vs. Chile,Chile,6,R,R,0,0,10,1
2014,Costa Rica vs. Greece,Costa Rica,2,R,L,1,1,1,0
2014,Costa Rica vs. Greece,Greece,4,L,C,1,1,2,0
2014,Costa Rica vs. Greece,Costa Rica,3,L,L,1,1,3,0
2014,Costa Rica vs. Greece,Greece,9,R,L,1,1,4,0
2014,Costa Rica vs. Greece,Costa Rica,5,R,L,1,1,5,0
2014,Costa Rica vs. Greece,Greece,3,L,R,1,1,6,0
2014,Costa Rica vs. Greece,Costa Rica,7,L,C,1,1,7,0
2014,Costa Rica vs. Greece,Greece,4,R,L,1,0,8,0
2014,Costa Rica vs. Greece,Costa Rica,1,R,L,1,1,9,1
2014,Costa Rica vs. Netherlands,Costa Rica,9,R,R,1,1,1,0
2014,Costa Rica vs. Netherlands,Netherlands,9,L,R,1,1,2,0
2014,Costa Rica vs. Netherlands,Costa Rica,9,L,R,1,0,3,0
2014,Costa Rica vs. Netherlands,Netherlands,1,L,R,1,1,4,0
2014,Costa Rica vs. Netherlands,Costa Rica,6,R,R,1,1,5,0
2014,Costa Rica vs. Netherlands,Netherlands,4,R,R,1,1,6,0
2014,Costa Rica vs. Netherlands,Costa Rica,1,R,L,1,1,7,0
2014,Costa Rica vs. Netherlands,Netherlands,7,R,L,1,1,8,0
2014,Costa Rica vs. Netherlands,Costa Rica,9,R,R,1,0,9,1
2014,Netherlands vs. Argentina,Netherlands,9,R,R,1,0,1,0
2014,Netherlands vs. Argentina,Argentina,4,L,C,1,1,2,0
2014,Netherlands vs. Argentina,Netherlands,9,L,L,1,1,3,0
2014,Netherlands vs. Argentina,Argentina,2,R,L,1,1,4,0
2014,Netherlands vs. Argentina,Netherlands,4,R,L,1,0,5,0
2014,Netherlands vs. Argentina,Argentina,7,R,L,1,1,6,0
2014,Netherlands vs. Argentina,Netherlands,9,R,L,1,1,7,0
2014,Netherlands vs. Argentina,Argentina,4,R,L,1,1,8,1
2018,Spain vs. Russia,Spain,6,R,C,1,1,1,0
2018,Spain vs. Russia,Russia,4,R,L,1,1,2,0
2018,Spain vs. Russia,Spain,7,R,R,1,1,3,0
2018,Spain vs. Russia,Russia,6,R,L,1,1,4,0
2018,Spain vs. Russia,Spain,7,R,L,1,0,5,0
2018,Spain vs. Russia,Russia,7,R,L,1,1,6,0
2018,Spain vs. Russia,Spain,4,R,R,1,1,7,0
2018,Spain vs. Russia,Russia,8,L,L,1,1,8,0
2018,Spain vs. Russia,Spain,8,L,L,1,0,9,1
2018,Denmark vs. Croatia,Denmark,7,R,L,1,0,1,0
2018,Denmark vs. Croatia,Croatia,7,R,L,1,0,2,0
2018,Denmark vs. Croatia,Denmark,3,R,C,1,1,3,0
2018,Denmark vs. Croatia,Croatia,7,R,C,1,1,4,0
2018,Denmark vs. Croatia,Denmark,7,R,R,1,1,5,0
2018,Denmark vs. Croatia,Croatia,8,R,R,1,1,6,0
2018,Denmark vs. Croatia,Denmark,4,R,L,1,0,7,0
2018,Denmark vs. Croatia,Croatia,7,L,L,1,0,8,0
2018,Denmark vs. Croatia,Denmark,8,R,R,1,0,9,0
2018,Denmark vs. Croatia,Croatia,7,R,C,1,1,10,1
2018,Colombia vs. England,Colombia,5,R,L,1,1,1,0
2018,Colombia vs. England,England,7,R,L,1,1,2,0
2018,Colombia vs. England,Colombia,1,R,L,1,1,3,0
2018,Colombia vs. England,England,7,R,L,1,1,4,0
2018,Colombia vs. England,Colombia,9,R,L,1,1,5,0
2018,Colombia vs. England,England,9,R,R,1,0,6,0
2018,Colombia vs. England,Colombia,3,R,R,0,0,7,0
2018,Colombia vs. England,England,1,R,L,1,1,8,0
2018,Colombia vs. England,Colombia,4,R,L,1,0,9,0
2018,Colombia vs. England,England,7,R,L,1,1,10,1
2018,Russia vs. Croatia,Russia,5,R,C,1,0,1,0
2018,Russia vs. Croatia,Croatia,6,R,R,1,1,2,0
2018,Russia vs. Croatia,Russia,9,R,C,1,1,3,0
2018,Russia vs. Croatia,Croatia,9,R,R,1,0,4,0
2018,Russia vs. Croatia,Russia,7,R,C,0,0,5,0
2018,Russia vs. Croatia,Croatia,7,R,L,1,1,6,0
2018,Russia vs. Croatia,Russia,7,R,R,1,1,7,0
2018,Russia vs. Croatia,Croatia,4,R,R,1,1,8,0
2018,Russia vs. Croatia,Russia,7,R,R,1,1,9,1
2018,Russia vs. Croatia,Croatia,7,R,R,1,1,10,1
